position,number,name,birthday,goals,assists,+/-,shots,pims,fow,game ID,game date,team,game number,team goals,team assists,team shots,team pims,player age
C,21,"Kroeker, Colton  - A",1997-01-21 00:00:00,0,0,0,2,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,20.682191780821917
RW,22,"Davis, Brett",1999-06-01 00:00:00,0,0,-1,2,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,18.323287671232876
RW,25,"Sidaway, Tanner",1999-04-29 00:00:00,0,1,+2,0,7,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,18.413698630136988
D,3,"LaPointe, Jakob",1998-05-21 00:00:00,0,0,0,0,7,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,19.353424657534248
D,4,"Toder, Layne *",2000-01-02 00:00:00,0,0,+1,1,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,17.734246575342464
D,5,"van de Leest, Jackson *",2001-06-15 00:00:00,0,0,-2,0,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,16.28219178082192
D,7,"Esposito, Drea",2000-01-12 00:00:00,0,1,0,0,2,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,17.706849315068492
D,8,"Yeryomenko, Vladislav",1999-04-23 00:00:00,1,1,+2,1,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,18.43013698630137
LW,10,"Stukel, Jakob",1997-03-06 00:00:00,0,0,+2,1,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,20.561643835616437
LW,11,"Malenstyn, Beck  - A",1998-02-04 00:00:00,0,0,+1,3,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,19.643835616438356
C,12,"Kastelic, Mark",1999-03-11 00:00:00,0,0,0,5,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,18.54794520547945
C,15,"Nielsen, Tristen",2000-02-23 00:00:00,0,0,-2,5,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,17.59178082191781
C,16,"Kryski, Jake",1998-03-08 00:00:00,1,0,0,5,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,19.556164383561644
LW,19,"Grishakov, Andrei",1999-05-17 00:00:00,0,0,0,3,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,18.364383561643837
C,21,"Gennaro, Matteo  - A",1997-03-30 00:00:00,0,2,+2,2,4,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,20.495890410958904
LW,22,"Gurney, Justyn",2000-10-01 00:00:00,0,0,-2,3,2,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,16.986301369863014
C,23,"Huber, Zach *",2000-02-01 00:00:00,0,0,-1,4,5,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,17.65205479452055
LW,24,"Coleman, Luke",1998-09-09 00:00:00,0,0,-1,1,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,19.04931506849315
C,25,"Zimmerman, Cael *",2001-01-17 00:00:00,0,0,0,1,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,16.69041095890411
RW,26,"Fyten, Andrew  - A",1998-10-13 00:00:00,0,0,-1,0,2,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,18.956164383561642
D,27,"Murray, Jameson",1999-02-10 00:00:00,0,0,-3,0,0,0/0,1014622,2017-09-22 19:00:00,Hitmen,2,2,4,35,22,18.627397260273973
D,3,"Paivarinta, Cody",1998-06-13 00:00:00,0,0,0,2,2,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,19.29041095890411
D,5,"Hayes, Zack",1999-04-24 00:00:00,0,0,-2,0,5,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,18.427397260273974
D,6,"Budik, Vojtech",1998-01-29 00:00:00,0,0,-1,0,0,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,19.660273972602738
D,8,"Pachal, Brayden  - A",1999-08-23 00:00:00,0,0,-2,3,0,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,18.095890410958905
D,10,"Martin, Max",1999-07-25 00:00:00,0,0,-1,1,0,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,18.175342465753424
C,11,"Moe, Spencer",2000-01-07 00:00:00,0,0,0,1,0,0/2,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,17.720547945205478
C,14,"Warkentine, Drew",1998-09-23 00:00:00,0,0,-1,1,0,5/9,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,19.01095890410959
RW,15,"Jerome, D-Jay",1999-11-05 00:00:00,0,0,-1,0,0,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,17.893150684931506
D,16,"Rhinehart, Rhett *",2001-11-27 00:00:00,0,0,0,1,0,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,15.830136986301369
LW,17,"Johnson, Kolby",1998-05-12 00:00:00,0,0,-1,0,7,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,19.378082191780823
LW,18,"Miske, Curtis  - C",1997-01-17 00:00:00,0,0,-1,2,0,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,20.693150684931506
C,19,"Stallard, Jordy  - A",1997-09-18 00:00:00,0,0,-1,3,0,9/19,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,20.024657534246575
LW,20,"Sottile, Brock *",1999-08-04 00:00:00,0,0,-1,2,2,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,18.147945205479452
C,22,"Miller, Carson",2000-02-10 00:00:00,0,0,0,0,0,0/1,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,17.627397260273973
C,23,"Pearce, Eric *",2001-07-30 00:00:00,0,0,-1,1,0,1/4,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,16.15890410958904
LW,24,"Fonstad, Cole",2000-04-24 00:00:00,0,0,0,2,0,0/0,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,17.424657534246574
C,25,"Montgomery, Sean  - A",1998-03-07 00:00:00,0,0,-1,1,0,1/1,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,19.55890410958904
C,28,"Skoleski, Devon",1997-09-15 00:00:00,0,0,-1,1,0,5/13,1014623,2017-09-22 19:00:00,Raiders,3,0,0,21,16,20.03287671232877
D,4,"Woo, Jett",2000-07-27 00:00:00,1,0,+1,5,2,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,17.167123287671235
D,5,"Paradis, Colin",1998-04-27 00:00:00,0,0,+1,1,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,19.41917808219178
C,8,"Almeida, Justin ",1999-02-06 00:00:00,1,0,+1,3,0,11/19,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,18.638356164383563
LW,10,"Jeannot, Tanner",1997-05-29 00:00:00,0,1,+1,4,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,20.33150684931507
C,12,"Halbgewachs, Jayden",1997-03-22 00:00:00,0,1,+1,2,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,20.517808219178082
D,13,"Kwiatkowski, Brenden *",2000-07-13 00:00:00,0,1,+1,0,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,17.205479452054796
LW,14,"Smithies, Tyler *",2000-07-27 00:00:00,0,0,+1,2,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,17.167123287671235
LW,17,"Wood, Brecon",2000-12-05 00:00:00,0,0,0,0,2,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,16.80821917808219
C,18,"Popple, Tate *",2000-03-03 00:00:00,0,1,+1,2,0,3/5,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,17.567123287671233
LW,19,"Burke, Brayden",1997-01-01 00:00:00,1,0,+2,4,0,1/2,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,20.736986301369864
LW,20,"Klatt, Branden",1998-10-20 00:00:00,0,0,0,2,0,5/9,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,18.936986301369863
C,22,"Gregor, Noah",1998-07-28 00:00:00,0,1,+1,8,0,8/14,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,19.167123287671235
LW,23,"Langan, Tristin",1998-12-15 00:00:00,0,0,0,1,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,18.783561643835615
D,26,"Benson, Matthew *",2000-11-24 00:00:00,0,0,+1,0,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,16.838356164383562
C,27,"Burzan, Luka",2000-01-07 00:00:00,0,0,0,1,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,17.720547945205478
LW,29,"DeRoose, Tristyn",1999-01-29 00:00:00,0,0,+1,1,5,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,18.660273972602738
D,76,"Sosunov, Oleg",1998-04-13 00:00:00,0,0,+1,1,5,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,19.457534246575342
D,95,"Zaitsev, Dmitri",1998-01-18 00:00:00,0,0,+1,3,0,0/0,1014623,2017-09-22 19:00:00,Warriors,3,3,5,40,14,19.69041095890411
D,2,"Addison, Calen",2000-04-11 00:00:00,0,0,0,3,0,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,17.46027397260274
D,6,"Prefontaine, Ty",1999-01-13 00:00:00,0,0,0,2,2,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,18.704109589041096
D,7,"Yewchuk, Kyle",1998-04-05 00:00:00,0,0,0,2,2,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,19.47945205479452
C,9,"Estephan, Giorgio  - C",1997-02-03 00:00:00,1,1,+2,3,0,10/26,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,20.646575342465752
LW,10,"Zudilov, Egor *",2000-09-10 00:00:00,0,0,-1,3,0,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,17.043835616438358
D,11,"Merezhko, Igor",1998-04-30 00:00:00,0,2,+2,2,0,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,19.410958904109588
C,14,"Harke, Shawn *",2000-02-14 00:00:00,0,0,+1,1,0,3/8,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,17.616438356164384
C,15,"Bellerive, Jordy  - A",1999-05-02 00:00:00,0,1,+2,6,0,2/2,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,18.405479452054795
C,17,"Tarzwell, Josh",2000-02-08 00:00:00,0,2,-1,1,0,1/1,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,17.632876712328766
RW,18,"Nagel, Tanner  - A",1998-01-27 00:00:00,0,0,+1,2,2,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,19.665753424657535
RW,20,"Elmer, Jake",1998-12-31 00:00:00,0,0,-1,1,0,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,18.73972602739726
C,21,"Vandervlis, Ryan  - A",1998-05-23 00:00:00,0,0,+1,1,0,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,19.34794520547945
C,23,"Joseph, Jadon",1999-05-22 00:00:00,2,1,0,5,0,8/16,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,18.350684931506848
C,24,"Cozens, Dylan *",2001-02-09 00:00:00,1,0,-1,6,0,6/8,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,16.627397260273973
C,25,"Franklin, Zane",1999-01-05 00:00:00,1,0,0,1,0,0/1,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,18.726027397260275
LW,26,"Davis, Jayden *",1999-11-14 00:00:00,0,0,0,1,0,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,17.86849315068493
D,28,"Pouteau, Brady",1998-01-09 00:00:00,0,1,+1,2,0,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,19.715068493150685
D,29,"Wilson, Koletrane *",1999-09-01 00:00:00,0,0,-1,0,0,0/0,1014624,2017-09-22 19:00:00,Hurricanes,4,5,8,42,6,18.07123287671233
D,3,"MacPhee, Cameron",1999-05-17 00:00:00,0,0,0,2,2,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,18.364383561643837
D,4,"Baker, Daniel *",2001-05-15 00:00:00,0,0,0,3,0,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,16.367123287671234
D,6,"MacPherson, Dylan",1998-04-27 00:00:00,0,0,-1,6,2,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,19.41917808219178
LW,7,"Kohler, Mick *",1998-02-23 00:00:00,0,0,+1,1,0,1/3,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,19.59178082191781
C,10,"Hamblin, James  - A",1999-04-27 00:00:00,0,0,-2,3,0,14/25,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,18.41917808219178
LW,11,"Anderson, Baxter",2000-03-11 00:00:00,0,0,0,2,0,0/6,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,17.545205479452054
LW,12,"Rybinski, Henry *",2001-06-26 00:00:00,0,0,0,0,2,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,16.252054794520546
RW,14,"Jevne, Ryan  - A",1998-04-08 00:00:00,0,0,-1,0,0,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,19.471232876712328
RW,16,"Gerlach, Max",1998-04-04 00:00:00,0,0,-1,4,2,5/8,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,19.482191780821918
C,17,"Haden, Gary",1999-01-23 00:00:00,1,0,+1,4,0,4/6,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,18.676712328767124
RW,21,"Heathcote, Dawson *",2000-01-02 00:00:00,0,0,0,1,0,0/1,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,17.734246575342464
RW,22,"Preziuso, Tyler",1999-01-19 00:00:00,0,0,+1,0,0,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,18.687671232876713
RW,24,"Williams, Josh *",2001-03-08 00:00:00,0,0,-1,0,2,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,16.553424657534247
D,25,"Nassen, Linus",1998-05-10 00:00:00,0,0,-1,2,2,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,19.383561643835616
D,26,"Gally, Dalton",1998-01-26 00:00:00,0,0,0,0,2,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,19.66849315068493
LW,27,"Rassell, Mark  - C",1997-02-28 00:00:00,1,0,-2,5,0,1/1,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,20.578082191780823
LW,29,"Chyzowski, Ryan",2000-05-14 00:00:00,0,0,0,2,0,7/12,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,17.36986301369863
D,34,"Clayton, Cole *",2000-02-29 00:00:00,0,0,0,3,0,0/0,1014624,2017-09-22 19:00:00,Tigers,4,2,0,38,14,17.575342465753426
D,3,"Kustra, Jake",1999-04-20 00:00:00,0,0,0,1,0,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,18.438356164383563
D,6,"Rubinchik, Mark",1999-03-21 00:00:00,0,1,-2,3,0,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,18.52054794520548
D,8,"Bafaro, Seth",2000-05-16 00:00:00,0,0,0,1,0,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,17.364383561643837
C,18,"Goethals, Bradly",1998-06-17 00:00:00,1,0,-2,3,2,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,19.279452054794522
C,20,"Ramsay, Gage",1998-10-15 00:00:00,0,1,-2,5,0,0/1,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,18.95068493150685
LW,21,"MacKenzie, Lukus",1999-04-26 00:00:00,0,1,+1,0,2,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,18.421917808219177
LW,23,"Shmyr, Braylon  - A",1997-05-16 00:00:00,0,0,-4,1,0,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,20.367123287671234
LW,24,"Michaud, Dryden",1998-03-17 00:00:00,0,0,0,0,0,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,19.53150684931507
D,25,"Hájek, Libor  - A",1998-02-04 00:00:00,0,0,-4,1,4,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,19.643835616438356
RW,27,"Farren, Michael",2000-04-19 00:00:00,0,0,0,3,0,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,17.438356164383563
RW,39,"Fantillo, Caleb",1998-04-21 00:00:00,1,0,+1,1,2,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,19.435616438356163
C,41,"Christensen, Logan",1999-01-12 00:00:00,0,0,-2,1,0,19/29,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,18.706849315068492
C,44,"Wouters, Chase",2000-02-08 00:00:00,0,0,0,0,0,13/20,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,17.632876712328766
D,47,"Fiala, Evan  - C",1997-06-07 00:00:00,0,1,-1,0,2,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,20.306849315068494
C,49,"Machado, Brandon *",2000-04-07 00:00:00,0,0,+1,0,0,7/9,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,17.471232876712328
D,52,"Caller, Jackson",1999-07-15 00:00:00,0,0,+1,3,0,0/0,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,18.202739726027396
C,61,"Paterson, Josh",1999-01-21 00:00:00,0,0,-2,2,0,2/2,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,18.682191780821917
C,77,"Dach, Kirby *",2001-01-21 00:00:00,0,0,-2,0,0,6/18,1014625,2017-09-22 19:05:00,Blades,5,2,4,25,12,16.67945205479452
D,2,"Sissons, Colby",1998-01-15 00:00:00,0,0,+3,0,4,0/0,1014625,2017-09-22 19:05:00,Broncos,5,5,6,32,22,19.698630136986303
D,3,"Schmiemann, Dom",1999-04-02 00:00:00,0,1,+2,2,0,0/0,1014625,2017-09-22 19:05:00,Broncos,5,5,6,32,22,18.487671232876714
D,5,"Minulin, Artyom",1998-10-01 00:00:00,1,0,+2,1,0,0/0,1014625,2017-09-22 19:05:00,Broncos,5,5,6,32,22,18.98904109589041
