position,number,name,birthday,goals,assists,+/-,shots,pims,fow,game ID,game date,team,game number,team goals,team assists,team shots,team pims,player age
D,72,"Allensen, Nathan *",2001-05-03 00:00:00,1,2,+5,2,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,16.397260273972602
C,92,"Rhodes, Sam *",2000-02-19 00:00:00,0,0,0,1,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,17.6
D,2,"Hoefenmayer, Noel",1999-01-06 00:00:00,0,0,-3,1,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,18.720547945205478
LW,4,"Yule, Quinn *",2000-01-06 00:00:00,0,0,-4,0,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,17.720547945205478
C,8,"Chmelevski, Sasha",1999-06-09 00:00:00,0,0,-3,3,0,12/14,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,18.2986301369863
C,9,"Keating, Austen",1999-03-07 00:00:00,0,1,-5,1,0,11/18,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,18.556164383561644
RW,10,"True, Oliver *",2000-05-04 00:00:00,0,0,-1,0,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,17.394520547945206
LW,11,"Losev, Seva *",2000-06-13 00:00:00,1,0,0,3,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,17.284931506849315
C,12,"Gardiner, Nolan",1998-09-09 00:00:00,0,0,-1,2,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,19.046575342465754
C,13,"Bitten, Sam *",2000-03-21 00:00:00,0,1,0,1,0,7/13,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,17.515068493150686
LW,17,"Hoelscher, Mitchell *",2000-01-27 00:00:00,0,0,-4,2,0,7/12,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,17.663013698630138
D,18,"Wilson, Hudson",1999-05-03 00:00:00,0,0,-1,1,5,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,18.4
D,24,"Peric, Lucas *",2001-01-08 00:00:00,0,0,-4,0,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,16.71232876712329
D,25,"Stratis, Peter",2000-01-18 00:00:00,0,1,-3,1,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,17.687671232876713
D,28,"Okhotyuk, Nikita *",2000-12-04 00:00:00,0,0,-5,2,2,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,16.80821917808219
LW,29,"Felhaber, Tye",1998-08-05 00:00:00,0,0,-4,1,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,19.14246575342466
RW,71,"Clark, Kody",1999-10-13 00:00:00,0,1,-1,2,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,17.953424657534246
D,88,"Bahl, Kevin",2000-06-27 00:00:00,0,0,-4,0,2,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,17.246575342465754
RW,92,"Clarke, Graeme *",2001-04-24 00:00:00,0,0,-4,0,0,0/0,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,16.421917808219177
RW,93,"Foget, Mathieu",1997-03-06 00:00:00,1,0,-3,2,0,3/4,22381,2017-09-21 19:30:00,67's,1,2,4,22,9,20.55890410958904
D,2,"Fraser, Cole",1999-08-23 00:00:00,0,0,+2,1,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,18.09315068493151
D,4,"Timms, Matthew",1998-05-12 00:00:00,0,1,-1,3,2,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,19.375342465753423
D,5,"Black, Alex  - A",1997-09-12 00:00:00,0,0,0,2,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,20.03835616438356
D,7,"Babintsev, Gleb *",2000-01-08 00:00:00,0,0,0,0,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,17.715068493150685
C,11,"Gallant, Zach",1999-03-06 00:00:00,1,0,+1,1,0,14/17,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,18.55890410958904
C,12,"Paquette, Christopher",1998-03-27 00:00:00,0,0,-1,0,0,0/2,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,19.5013698630137
RW,14,"Dow, Bobby",1998-11-05 00:00:00,0,0,-1,4,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,18.89041095890411
LW,15,"Isaacson, Nick",1999-08-11 00:00:00,0,0,0,0,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,18.126027397260273
C,16,"Robertson, Nick *",2001-09-11 00:00:00,0,1,+1,1,0,3/7,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,16.03835616438356
RW,17,"Gogolev, Pavel",2000-02-19 00:00:00,0,0,-3,1,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,17.6
RW,18,"Timleck, Adam",1998-02-26 00:00:00,0,2,0,2,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,19.58082191780822
C,19,"Der-Arguchintsev, Semyon",2000-09-15 00:00:00,0,0,-4,0,0,5/9,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,17.027397260273972
D,20,"Chisholm, Declan",2000-01-12 00:00:00,0,0,-2,1,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,17.704109589041096
C,21,"Ang, Jonathan  - A",1998-01-31 00:00:00,0,0,-1,5,2,7/13,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,19.65205479452055
RW,22,"Denault, Chad *",2000-04-17 00:00:00,0,0,0,0,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,17.44109589041096
D,24,"Beraldo, Adrien *",2000-01-13 00:00:00,0,0,-1,0,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,17.7013698630137
RW,26,"Parker-Jones, John *",2000-04-07 00:00:00,0,0,-1,0,0,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,17.46849315068493
C,28,"DeNoble, Logan  - C",1997-10-15 00:00:00,1,0,0,3,2,0/0,22382,2017-09-21 19:05:00,Petes,2,2,4,24,6,19.947945205479453
D,2,"Byrne, Mitchell",1998-03-04 00:00:00,0,0,+1,0,0,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,19.564383561643837
D,3,"Martin, Ryan",1999-06-14 00:00:00,0,1,+2,0,0,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,18.284931506849315
D,6,"Sambrook, Jordan",1998-04-11 00:00:00,0,1,+1,2,2,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,19.46027397260274
LW,7,"Girhiny, Christian",1998-08-21 00:00:00,2,1,+2,5,0,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,19.0986301369863
C,8,"Edwardson, Carson",1999-06-09 00:00:00,0,0,-1,1,0,0/1,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,18.2986301369863
LW,9,"Maksimovich, Kyle  - A",1998-03-10 00:00:00,0,0,0,1,2,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,19.54794520547945
C,10,"Sproule, Emmett *",2001-03-19 00:00:00,0,0,-1,1,0,0/3,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,16.52054794520548
C,15,"Patry, Stephane *",2000-02-18 00:00:00,0,0,0,0,0,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,17.602739726027398
RW,17,"Raddysh, Taylor  - A",1998-02-18 00:00:00,1,1,+2,3,0,0/1,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,19.602739726027398
D,20,"Wainman, Josh",1999-02-20 00:00:00,0,0,-2,1,2,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,18.5972602739726
LW,21,"Fellows, Patrick",1997-06-17 00:00:00,0,0,+1,4,0,2/5,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,20.276712328767122
RW,27,"Lodnia, Ivan",1999-08-31 00:00:00,1,0,+1,6,0,7/17,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,18.07123287671233
D,34,"Duff, Jack *",2000-01-23 00:00:00,0,1,+1,0,0,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,17.673972602739727
C,39,"Poddubnyi, Gera",1999-06-09 00:00:00,0,1,0,2,0,6/12,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,18.2986301369863
RW,46,"Robinson, Cade",1999-10-22 00:00:00,0,0,0,3,2,0/1,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,17.92876712328767
D,47,"Headrick, Owen  - A",1997-08-23 00:00:00,0,0,+1,0,0,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,20.09315068493151
LW,77,"Golod, Maxim *",2000-08-18 00:00:00,0,0,-1,0,0,0/0,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,17.104109589041094
LW,96,"Gritz, Alex",2000-09-15 00:00:00,1,1,+1,3,0,4/8,22382,2017-09-21 19:05:00,Otters,2,5,7,32,8,17.027397260273972
D,5,"McEneny, Austin",1997-04-10 00:00:00,0,1,+2,3,0,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,20.46301369863014
C,7,"Angle, Tyler",2000-09-30 00:00:00,0,0,0,1,4,7/11,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,16.986301369863014
D,8,"Corcoran, Connor",2000-08-07 00:00:00,0,0,+1,1,0,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,17.134246575342466
C,12,"Sirman, William",1999-11-03 00:00:00,0,0,0,1,0,1/3,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,17.895890410958906
LW,16,"Playfair, Chris",2000-05-31 00:00:00,0,0,0,0,2,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,17.32054794520548
RW,17,"Larionov, Igor",1998-08-24 00:00:00,0,0,0,2,0,1/1,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,19.09041095890411
LW,19,"Mizzi, Joseph",1998-04-19 00:00:00,0,0,0,3,0,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,19.438356164383563
C,20,"Kutkevicius, Luke",1998-03-25 00:00:00,1,0,0,6,0,11/14,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,19.506849315068493
D,22,"Stevenson, Thomas",1999-10-14 00:00:00,0,0,-1,1,0,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,17.95068493150685
LW,24,"MacDougall, Mathew *",2000-01-23 00:00:00,0,2,0,1,0,0/2,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,17.673972602739727
RW,26,"Purboo, Cole",1999-06-18 00:00:00,0,0,+1,1,0,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,18.273972602739725
RW,27,"Smith, Jake",1997-07-03 00:00:00,1,1,+1,2,2,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,20.232876712328768
D,43,"Henault, Louka *",2001-01-31 00:00:00,0,0,-1,0,0,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,16.649315068493152
D,44,"Staios, Nathan *",2001-05-17 00:00:00,0,0,+1,0,2,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,16.35890410958904
RW,61,"Boka, Luke  - A",1999-06-12 00:00:00,1,0,0,4,0,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,18.29041095890411
D,71,"Starikov, Lev *",2000-09-17 00:00:00,0,0,0,3,0,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,17.02191780821918
LW,88,"Kozhevnikov, Kirill",1999-01-26 00:00:00,0,0,0,1,2,0/0,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,18.665753424657535
C,91,"Luchuk, Aaron  - C",1997-04-05 00:00:00,0,2,+1,5,0,22/27,22383,2017-09-21 19:05:00,Spitfires,3,3,6,35,12,20.476712328767125
D,5,"Crawford, Marcus  - A",1997-03-21 00:00:00,1,0,-1,4,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,20.517808219178082
D,8,"Everett, Caleb *",2000-01-20 00:00:00,0,0,0,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,17.682191780821917
C,9,"Gilmour, Brady  - A",1999-04-18 00:00:00,0,0,-1,3,2,7/18,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,18.44109589041096
D,10,"Bappert, Tom",1999-01-16 00:00:00,0,0,-1,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,18.693150684931506
RW,14,"Busdeker, DJ",1999-09-25 00:00:00,0,0,0,0,2,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,18.002739726027396
LW,15,"Kreis, Matthew",1997-08-01 00:00:00,0,1,0,4,0,0/2,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,20.153424657534245
C,18,"Grondin, Max",2000-07-04 00:00:00,0,1,+1,2,0,3/13,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,17.22739726027397
C,19,"Jenkins, Blade *",2000-08-11 00:00:00,0,0,0,1,0,4/14,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,17.123287671232877
D,21,"Davis, Hayden",1999-07-21 00:00:00,0,0,0,6,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,18.183561643835617
C,23,"Prueter, Aidan *",2001-12-21 00:00:00,0,0,-1,2,0,1/6,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,15.761643835616438
D,24,"Hill, Brock",1999-01-27 00:00:00,0,0,0,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,18.663013698630138
LW,27,"Katic, Danny *",2000-08-04 00:00:00,0,0,-1,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,17.14246575342466
RW,34,"Badalamenti, Ben *",2000-02-06 00:00:00,0,0,-1,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,17.635616438356163
RW,49,"Coskey, Cole",1999-06-01 00:00:00,0,0,-1,5,0,1/5,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,18.32054794520548
RW,61,"Stepien, Ryan *",2001-09-19 00:00:00,0,0,+1,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,16.016438356164382
LW,71,"Porco, Nicholas *",2001-03-12 00:00:00,0,0,-1,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,16.53972602739726
D,75,"Penman, Duncan *",2001-07-05 00:00:00,0,0,0,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,16.224657534246575
LW,96,"Giroux, Damien  - A",2000-03-03 00:00:00,0,0,0,0,0,0/0,22383,2017-09-21 19:05:00,Spirit,3,1,2,27,4,17.564383561643837
D,3,"Shoemaker, Mark  - A",1997-09-28 00:00:00,0,0,+1,3,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,19.997260273972604
D,4,"Lalonde, Owen",2000-02-01 00:00:00,0,0,0,3,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,17.65205479452055
D,5,"Samorukov, Dmitri",1999-06-16 00:00:00,0,0,0,1,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,18.28219178082192
D,6,"Merkley, Ryan",2000-08-14 00:00:00,1,1,-1,3,2,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,17.117808219178084
RW,7,"Poirier, Zach  - A",1998-05-12 00:00:00,0,0,+1,2,2,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,19.378082191780823
C,8,"Hillis, Cam *",2000-06-24 00:00:00,0,1,-1,1,0,13/18,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,17.257534246575343
C,9,"Kirwin, Barret",2000-02-18 00:00:00,0,0,0,0,0,7/16,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,17.605479452054794
C,10,"Bertuzzi, Tag *",2001-02-18 00:00:00,0,1,+1,2,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,16.602739726027398
C,12,"Stevenson, Keegan *",2000-12-31 00:00:00,0,0,0,0,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,16.736986301369864
C,14,"Ralph, Cedric",1999-01-21 00:00:00,0,0,0,1,2,0/2,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,18.682191780821917
C,15,"Hawel, Liam",1999-04-18 00:00:00,1,0,+1,5,0,14/27,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,18.443835616438356
RW,17,"Toropchenko, Alexey",1999-06-25 00:00:00,1,1,-1,3,2,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,18.257534246575343
LW,19,"Ratcliffe, Isaac  - A",1999-02-15 00:00:00,0,0,-1,3,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,18.613698630136987
C,20,"Primeau, Mason *",2001-07-28 00:00:00,0,0,0,0,0,2/3,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,16.164383561643834
LW,22,"Stevens, Liam",1999-04-23 00:00:00,0,0,0,0,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,18.43013698630137
LW,23,"Hotchkiss, Matt",1998-02-06 00:00:00,0,0,0,2,2,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,19.638356164383563
D,27,"McFadden, Garrett  - C",1997-08-21 00:00:00,0,1,-1,4,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,20.101369863013698
D,28,"Woolley, Mark *",2001-11-26 00:00:00,0,0,+1,2,0,0/0,22384,2017-09-22 19:30:00,Storm,4,3,5,35,10,15.832876712328767
D,2,"Calvas, Theo",1998-08-06 00:00:00,0,0,+1,1,2,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,19.14246575342466
D,7,"Grima, Nick",1999-03-07 00:00:00,0,0,0,0,0,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,18.55890410958904
LW,10,"Salinitri, Anthony  - A",1998-03-05 00:00:00,1,0,+1,3,0,3/13,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,19.564383561643837
RW,13,"Hinz, Brady",2000-05-03 00:00:00,0,0,0,0,0,0/3,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,17.4
LW,14,"Guy, Brayden *",2001-03-03 00:00:00,0,0,0,1,0,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,16.567123287671233
LW,16,"Ernst, Jordan",1997-06-18 00:00:00,0,1,0,3,2,0/1,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,20.276712328767122
C,17,"Rymsha, Drake",1998-08-06 00:00:00,1,1,-1,5,0,12/20,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,19.14246575342466
C,19,"McGregor, Ryan  - A",1999-01-29 00:00:00,0,0,0,1,2,2/11,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,18.660273972602738
D,20,"Schlichting, Connor  - A",1997-05-17 00:00:00,1,0,0,1,0,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,20.364383561643837
C,21,"Ruzicka, Adam",1999-05-11 00:00:00,0,2,+2,2,4,11/12,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,18.38082191780822
LW,23,"Egert, Curtis",1999-02-04 00:00:00,0,0,-2,0,2,0/1,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,18.643835616438356
D,24,"Jakovljevic, Marko *",2000-11-24 00:00:00,0,0,0,0,0,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,16.838356164383562
C,26,"Sproviero, Franco",1998-08-05 00:00:00,0,0,0,2,2,2/4,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,19.145205479452056
RW,27,"Josling, Sean",1999-03-22 00:00:00,0,1,-1,0,0,0/1,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,18.517808219178082
D,28,"Hatcher, Kelton",1999-04-19 00:00:00,0,0,0,1,0,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,18.44109589041096
LW,46,"Leufvenius, Hugo",1999-03-26 00:00:00,0,1,+1,3,0,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,18.506849315068493
D,48,"Hogue, Alexandre *",2001-02-14 00:00:00,0,0,0,1,0,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,16.613698630136987
D,77,"Kammerer, Colton *",2001-10-21 00:00:00,0,0,-1,0,0,0/0,22384,2017-09-22 19:30:00,Sting,4,3,6,24,14,15.931506849315069
D,2,"Brand, Evan *",2001-03-14 00:00:00,0,1,+1,0,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,16.53698630136986
D,5,"Murray, Liam  - A",1997-06-28 00:00:00,0,0,-1,0,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,20.24931506849315
D,6,"Paquette, Jacob",1999-05-26 00:00:00,0,0,0,0,2,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,18.339726027397262
D,8,"Gordon, Emmett",2000-01-31 00:00:00,0,0,0,1,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,17.654794520547945
LW,9,"Dunkley, Nathan",2000-03-05 00:00:00,0,1,0,0,0,1/1,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,17.561643835616437
LW,11,"Laureigh, Bryan *",2000-06-16 00:00:00,0,1,+1,1,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,17.279452054794522
C,13,"Neumann, Brett",1999-02-15 00:00:00,0,0,0,5,0,11/19,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,18.613698630136987
RW,15,"Field, Sam",1998-02-04 00:00:00,0,0,+1,1,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,19.643835616438356
LW,17,"Pringle, Justin",2000-03-08 00:00:00,0,0,0,1,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,17.553424657534247
RW,19,"Robertson, Jason",1999-07-22 00:00:00,2,0,0,9,2,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,18.183561643835617
RW,21,"Cranford, Ryan",1998-04-09 00:00:00,0,0,0,0,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,19.46849315068493
D,22,"Brahaney, Jakob",1999-03-26 00:00:00,0,0,0,4,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,18.506849315068493
C,23,"Burnie, Tyler",1999-02-09 00:00:00,0,0,0,2,0,9/18,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,18.63013698630137
LW,24,"Davis, Cal",1999-03-21 00:00:00,0,0,0,0,0,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,18.52054794520548
C,26,"Nichol, Ted  - C",1997-01-04 00:00:00,0,0,-1,3,0,13/19,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,20.72876712328767
C,28,"Morgan, Cody *",2001-02-01 00:00:00,1,0,+1,2,0,3/6,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,16.649315068493152
LW,75,"Nyman, Linus",1999-07-11 00:00:00,0,2,0,4,2,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,18.213698630136985
D,77,"Rasanen, Eemeli  - A",1999-03-06 00:00:00,0,1,+1,1,2,0/0,22385,2017-09-22 19:00:00,Frontenacs,5,3,6,34,8,18.561643835616437
D,2,"Byrne, Mitchell",1998-03-04 00:00:00,0,0,-1,0,0,0/0,22385,2017-09-22 19:00:00,Otters,5,2,4,30,10,19.567123287671233
D,3,"Martin, Ryan",1999-06-14 00:00:00,0,0,+1,1,0,0/0,22385,2017-09-22 19:00:00,Otters,5,2,4,30,10,18.28767123287671
D,6,"Sambrook, Jordan",1998-04-11 00:00:00,0,0,-2,2,0,0/0,22385,2017-09-22 19:00:00,Otters,5,2,4,30,10,19.46301369863014
LW,7,"Girhiny, Christian",1998-08-21 00:00:00,0,0,0,3,0,0/0,22385,2017-09-22 19:00:00,Otters,5,2,4,30,10,19.101369863013698
C,8,"Edwardson, Carson",1999-06-09 00:00:00,0,0,-1,0,0,1/4,22385,2017-09-22 19:00:00,Otters,5,2,4,30,10,18.301369863013697
LW,9,"Maksimovich, Kyle  - A",1998-03-10 00:00:00,0,1,+1,2,0,1/3,22385,2017-09-22 19:00:00,Otters,5,2,4,30,10,19.55068493150685
C,10,"Sproule, Emmett *",2001-03-19 00:00:00,0,0,-1,1,0,1/6,22385,2017-09-22 19:00:00,Otters,5,2,4,30,10,16.523287671232875
